age;tl;tw;local
33;220;218;A
25;209;191.3;A
5;71.5;6.3;A
5;64.5;4.5;A
5;85.2;10.7;A
2;29.6;0.4;A
2;21.5;0.1;A
0;23;0.1;A
1;23;0.2;A
2;23;0.2;A
1;25;0.2;A
1;21;0.2;A
1;28.5;0.3;A
2;44;1;A
2;23.5;0.2;A
1;22;0.2;A
4;51;1.8;A
5;61.7;3.9;A
5;62;4.1;A
9;120;40;A
10;113;22;A
5;105;15;A
6;110;18.5;A
6;81;7.8;A
8;120;24.5;A
9;88.5;10;A
10;100;13;A
11;150;70;A
5;95;2.1;A
12;169;76;A
7;70;5.8;A
6;115;27.4;A
6;62;1.7;A
10;120;24;A
0;23;0.1;A
3;69;5.3;A
3;67;9;A
6;102;25;A
12;124;60;A
7;65;3.9;A
6;107;17.5;A
18;220;165;A
4;40;1;A
9;;0;A
11;148;60.4;A
13;144;55.5;B
12;136;46.4;B
13;180;111.6;B
10;147;59.2;B
8;132;42.2;B
3;32;0.5;B
1;28;0.3;B
5;;0;B
8;121;32.1;B
10;175;102.2;B
9;156;71.3;B
11;149;61.7;B
4;37;0.8;B
4;36;0.7;B
4;68;4.7;B
3;32.5;4.7;B
1;31;4.1;B
1;20.5;1.4;B
1;22;1.8;B
1;39;5.6;B
1;22.5;1.8;B
1;26;3.2;B
3;25;2.1;B
4;63.5;4.6;B
2;35.5;1.9;B
2;36;1.8;B
3;52;2.5;B
3;43;2.3;B
4;37.5;5;B
12;138;48.5;B
13;138;48.5;B
6;56;2.5;B
16;;0;B
3;19;0.1;B
6;148;60.4;B
1;36;1.8;B
2;37;0.8;B
17;245;0;B
12;200;86;B
11;117;19.3;B
15;192;100;B
15;177;;B
14;171;;B
12;157;;B
15;151;61;B
;180;;B
14;135;;B
31;230;200;B
22;220;;B
17;200;;B
15;150;;B
22;160;;B
9;179;111;B
5;80;8.8;B
25;85;10.6;B
3;22.8;0.2;B
3;37;0.8;B
3;83;9.9;B
6;34;0.6;B
3;19;0.1;B
2;30;0.3;B
3;31;0.3;B
2;29;0.2;B
3;26;0.3;B
3;32.5;0.3;B
2;33;0.3;B
3;31;0.5;B
3;31;0.4;B
3;35;0.8;B
4;32;0.5;B
3;28;0.4;B
2;34;0.8;B
3;32.5;0.7;B
3;30;0.4;B
2;27;0.3;B
2;25;0.2;B
4;36;0.8;B
1;24;0.2;B
1;46.5;1.3;B
3;36.8;1;B
3;117;20;B
8;107;17.5;B
4;146;57.9;B
6;56;2.9;B
6;70;5.8;B
4;115;27.4;B
5;89;12.3;B
5;62;4;B
3;34.5;0.6;B
3;41.5;2.2;B
5;24;0.2;B
2;36;0.7;B
2;36;0.7;B
2;40;1;B
2;28.5;0.3;B
2;25.3;0.4;B
1;29;0.4;B
3;40;0;B
3;119;30.5;B
12;100;17.7;B
7;195;143.5;B
9;230;240.7;B
16;176;104;B
