age;tl;wt;sex;local;localsex
2;23.0;220;M;CE;MCE
2;22.5;205;F;CE;FCE
2;21.2;60;F;BA;FBA
2;21.2;120;F;BA;FBA
2;22.1;200;F;CE;FCE
2;21.5;180;F;CE;FCE
2;21.9;180;M;CE;MCE
2;21.5;170;M;CE;MCE
2;21.5;105;F;CE;FCE
2;21.0;180;F;CE;FCE
2;25.6;240;F;CE;FCE
2;24.5;250;F;CE;FCE
2;24.0;255;F;CE;FCE
2;23.0;200;F;CE;FCE
2;22.1;190;M;CE;MCE
3;29.0;350;F;CE;FCE
3;27.7;220;M;CE;MCE
2;25.0;280;M;CE;MCE
3;26.6;240;F;BA;FBA
2;24.5;225;F;CE;FCE
2;23.9;230;F;CE;FCE
2;22.6;210;F;CE;FCE
2;23.6;224;M;CE;MCE
2;23.5;230;F;CE;FCE
2;23.5;240;F;CE;FCE
2;23.0;200;F;CE;FCE
2;22.7;200;M;CE;MCE
2;25.0;290;F;CE;FCE
2;25.0;250;F;CE;FCE
2;25.0;300;F;CE;FCE
2;24.9;270;F;CE;FCE
2;24.3;240;M;CE;MCE
2;24.1;230;M;CE;MCE
2;23.6;230;M;CE;MCE
2;23.6;200;F;CE;FCE
2;23.1;210;M;CE;MCE
2;23.0;210;M;CE;MCE
2;21.2;200;F;BA;FBA
2;26.5;320;F;CE;FCE
2;26.3;280;F;CE;FCE
2;26.2;280;F;CE;FCE
2;26.0;300;F;CE;FCE
2;25.9;310;M;CE;MCE
2;25.8;255;F;CE;FCE
2;25.5;270;M;CE;MCE
2;25.4;260;F;CE;FCE
2;24.1;250;F;CE;FCE
2;23.6;240;M;CE;MCE
2;23.4;230;M;CE;MCE
2;23.2;215;F;CE;FCE
2;21.9;170;F;CE;FCE
2;21.8;190;F;CE;FCE
2;26.5;316;F;CE;FCE
2;25.8;260;F;CE;FCE
2;25.2;245;F;CE;FCE
2;25.0;234;M;CE;MCE
2;24.5;210;F;CE;FCE
2;24.2;210;F;CE;FCE
3;26.9;360;M;BA;MBA
3;24.1;240;F;CE;FCE
3;23.9;210;F;CE;FCE
3;24.6;280;M;BA;MBA
3;31.3;440;F;BA;FBA
3;29.7;420;M;BA;MBA
3;30.3;510;M;CE;MCE
3;27.5;370;M;CE;MCE
3;27.4;338;F;CE;FCE
3;28.2;;M;BA;MBA
3;26.0;360;M;CE;MCE
3;28.0;;F;BA;FBA
3;25.4;296;M;CE;MCE
3;32.0;510;M;CE;MCE
3;29.6;360;F;BA;FBA
3;27.0;;F;BA;FBA
3;31.9;478;F;CE;FCE
3;26.0;300;M;BA;MBA
3;28.8;374;M;CE;MCE
3;28.1;380;F;CE;FCE
3;28.0;350;F;CE;FCE
3;27.4;400;F;CE;FCE
3;26.5;307;F;CE;FCE
3;26.0;310;M;CE;MCE
3;25.5;250;F;CE;FCE
3;25.5;260;M;CE;MCE
3;25.5;250;M;CE;MCE
3;25.3;290;M;CE;MCE
3;25.0;293;M;CE;MCE
3;26.4;280;M;BA;MBA
3;25.0;270;M;CE;MCE
3;24.7;310;F;CE;FCE
3;24.6;230;F;CE;FCE
3;24.5;240;F;CE;FCE
3;24.5;221;F;CE;FCE
3;24.5;250;M;CE;MCE
3;24.3;250;M;CE;MCE
3;24.3;270;M;CE;MCE
3;24.2;260;F;CE;FCE
3;24.0;255;M;CE;MCE
3;25.6;330;F;BA;FBA
3;30.9;430;F;CE;FCE
3;30.5;546;M;CE;MCE
3;29.9;432;F;CE;FCE
3;29.5;430;M;CE;MCE
3;27.0;320;M;CE;MCE
3;26.8;330;M;CE;MCE
3;26.7;330;M;CE;MCE
3;26.7;280;M;CE;MCE
3;26.5;299;M;CE;MCE
3;25.7;285;F;CE;FCE
3;29.2;928;M;CE;MCE
3;29.2;380;F;CE;FCE
3;27.9;340;M;CE;MCE
3;27.5;330;F;CE;FCE
3;27.2;374;M;CE;MCE
3;27.0;317;F;CE;FCE
3;26.9;380;M;CE;MCE
3;26.7;305;M;CE;MCE
3;26.5;310;M;CE;MCE
3;26.4;260;F;CE;FCE
3;26.0;298;F;CE;FCE
3;26.0;310;M;CE;MCE
3;24.9;270;F;CE;FCE
3;25.2;280;F;BA;FBA
3;25.4;420;F;CE;FCE
3;25.0;280;F;CE;FCE
3;24.2;250;M;CE;MCE
3;23.8;230;M;CE;MCE
4;34.0;600;M;BA;MBA
3;32.4;565;M;CE;MCE
3;31.4;576;M;CE;MCE
3;31.2;460;M;CE;MCE
3;30.8;432;M;CE;MCE
3;29.6;470;M;CE;MCE
3;28.5;356;F;CE;FCE
3;27.4;370;M;CE;MCE
3;27.2;350;M;CE;MCE
3;27.0;360;F;CE;FCE
3;27.0;210;F;CE;FCE
4;28.3;340;F;BA;FBA
4;34.5;680;F;CE;FCE
4;33.0;560;M;CE;MCE
4;32.0;520;M;CE;MCE
4;28.0;;M;BA;MBA
4;27.7;370;F;CE;FCE
4;31.8;460;M;BA;MBA
4;25.6;308;F;CE;FCE
4;31.0;470;M;BA;MBA
4;32.9;600;F;BA;FBA
4;32.0;490;M;CE;MCE
4;31.4;460;M;CE;MCE
4;27.8;290;F;CE;FCE
4;28.6;385;F;CE;FCE
4;35.7;762;F;CE;FCE
4;25.4;260;M;BA;MBA
4;32.0;570;F;CE;FCE
4;30.6;400;F;BA;FBA
4;25.9;310;F;CE;FCE
4;37.0;800;F;CE;FCE
4;35.0;780;F;CE;FCE
4;30.3;;M;BA;MBA
4;28.8;340;F;BA;FBA
4;31.5;570;F;CE;FCE
4;31.1;490;F;CE;FCE
4;29.3;430;M;CE;MCE
4;28.3;420;F;BA;FBA
4;32.6;;M;BA;MBA
4;27.2;370;F;CE;FCE
4;27.1;358;M;CE;MCE
4;35.8;315;F;CE;FCE
4;34.6;676;M;CE;MCE
4;31.0;500;F;BA;FBA
4;30.5;500;F;BA;FBA
4;28.8;320;M;BA;MBA
4;31.0;474;F;CE;FCE
4;30.7;500;M;CE;MCE
4;29.5;405;M;CE;MCE
4;28.0;380;F;BA;FBA
4;29.0;440;M;CE;MCE
4;29.0;410;F;CE;FCE
4;29.8;456;F;CE;FCE
4;29.5;419;M;CE;MCE
4;29.8;480;M;CE;MCE
4;29.0;330;M;CE;MCE
4;28.6;400;F;CE;FCE
4;27.4;310;F;CE;FCE
4;27.0;302;F;CE;FCE
4;33.4;620;F;BA;FBA
4;33.3;620;F;BA;FBA
4;32.8;520;M;BA;MBA
4;30.0;440;M;BA;MBA
4;34.8;690;F;CE;FCE
4;34.4;580;F;CE;FCE
4;31.8;480;F;CE;FCE
4;31.0;430;F;CE;FCE
4;30.0;450;F;CE;FCE
4;30.0;355;F;CE;FCE
4;29.9;440;F;CE;FCE
4;29.7;420;M;CE;MCE
4;28.1;370;F;CE;FCE
4;27.1;340;M;CE;MCE
5;34.0;550;M;CE;MCE
5;33.6;560;M;CE;MCE
5;32.1;558;F;CE;FCE
5;30.9;460;F;CE;FCE
5;38.4;854;M;CE;MCE
5;32.5;540;F;BA;FBA
5;31.2;480;F;BA;FBA
5;30.2;500;M;BA;MBA
5;29.4;386;F;BA;FBA
5;36.0;750;M;BA;MBA
5;36.7;690;M;CE;MCE
5;34.3;590;F;CE;FCE
5;33.9;618;F;CE;FCE
5;33.4;520;F;CE;FCE
5;30.9;905;F;CE;FCE
5;35.0;670;F;BA;FBA
5;34.8;650;M;BA;MBA
5;32.6;560;F;CE;FCE
5;36.5;766;F;CE;FCE
5;34.5;680;F;BA;FBA
5;38.9;364;F;CE;FCE
5;34.0;680;M;BA;MBA
5;33.7;625;F;BA;FBA
5;32.7;540;M;BA;MBA
5;36.0;660;F;BA;FBA
5;33.5;;F;BA;FBA
5;33.5;;F;BA;FBA
5;33.0;440;M;BA;MBA
5;31.2;520;M;BA;MBA
5;35.2;670;F;BA;FBA
5;33.3;660;M;BA;MBA
5;37.2;;F;CE;FCE
5;37.2;;M;CE;MCE
5;37.2;578;F;CE;FCE
5;37.0;708;F;CE;FCE
5;36.2;795;F;CE;FCE
5;35.5;645;M;CE;MCE
5;34.0;440;M;CE;MCE
5;33.9;660;M;CE;MCE
5;30.3;428;M;CE;MCE
6;40.8;976;M;CE;MCE
6;34.1;675;F;CE;FCE
6;32.7;510;F;CE;FCE
6;36.8;774;F;CE;FCE
6;36.1;735;F;CE;FCE
6;35.5;696;F;CE;FCE
6;33.3;650;M;CE;MCE
6;33.0;610;F;CE;FCE
6;33.0;530;F;CE;FCE
6;37.0;800;F;CE;FCE
6;32.0;467;M;CE;MCE
6;30.5;430;F;CE;FCE
6;31.0;520;M;BA;MBA
6;38.1;816;M;CE;MCE
6;37.5;;F;CE;FCE
6;32.2;580;M;BA;MBA
6;31.2;500;M;BA;MBA
6;30.2;380;M;BA;MBA
6;38.0;835;F;BA;FBA
6;36.6;720;M;BA;MBA
6;37.2;770;F;CE;FCE
6;36.4;780;M;BA;MBA
6;36.6;780;F;BA;FBA
6;36.0;725;F;BA;FBA
6;34.5;695;M;CE;MCE
6;35.8;700;M;BA;MBA
6;35.8;765;M;BA;MBA
6;35.0;720;M;BA;MBA
6;32.5;582;M;CE;MCE
6;32.5;500;M;CE;MCE
6;32.3;510;M;CE;MCE
6;30.3;410;F;CE;FCE
6;30.1;440;M;CE;MCE
6;35.0;670;F;BA;FBA
6;34.4;640;F;BA;FBA
6;33.4;480;F;BA;FBA
6;32.5;510;M;BA;MBA
6;32.2;480;F;BA;FBA
6;31.0;520;M;BA;MBA
6;39.9;874;F;CE;FCE
6;39.6;940;M;CE;MCE
6;39.3;925;F;CE;FCE
6;39.0;955;F;CE;FCE
6;37.9;800;F;CE;FCE
7;39.5;;M;CE;MCE
